symbol_config,trade_num,side,entry_date,entry_price,exit_date,exit_price,pnl_pct,exit_reason
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],1,long,2022-01-31,38483.12,2022-05-05,36575.14,-4.96,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],2,long,2022-08-18,23212.74,2022-09-01,20127.14,-13.29,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],3,long,2023-01-19,21086.79,2023-05-27,26868.35,27.42,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],4,long,2023-07-01,30590.08,2023-08-21,26124.14,-14.6,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],5,long,2023-10-17,28415.75,2024-05-08,61187.94,115.33,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],6,long,2024-05-30,68338.58,2024-07-02,62040.22,-9.22,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],7,long,2024-10-02,60649.8,2025-02-25,88583.74,46.06,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],8,long,2025-05-03,95861.33,2025-09-06,110212.6,14.97,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE TrendFlip],9,long,2025-10-07,121393.95,2025-10-27,114087.06,-6.02,TrendFlip
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],1,long,2022-01-31,38483.12,2022-04-17,39716.95,3.21,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],2,long,2022-04-18,40826.21,2022-04-21,40527.36,-0.73,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],3,long,2022-08-18,23212.74,2022-08-19,20877.55,-10.06,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],4,long,2023-01-19,21086.79,2023-03-08,21718.08,2.99,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],5,long,2023-03-12,22163.95,2023-05-11,27000.79,21.82,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],6,long,2023-07-01,30590.08,2023-08-04,29074.09,-4.96,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],7,long,2023-08-08,29765.49,2023-08-11,29397.71,-1.24,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],8,long,2023-10-17,28415.75,2024-01-22,39507.37,39.03,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],9,long,2024-01-27,42120.05,2024-01-28,42035.59,-0.2,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],10,long,2024-01-29,43288.25,2024-04-17,61276.69,41.56,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],11,long,2024-04-18,63512.75,2024-04-24,64276.9,1.2,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],12,long,2024-05-30,68338.58,2024-06-18,65152.8,-4.66,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],13,long,2024-10-02,60649.8,2025-01-09,92547.44,52.59,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],14,long,2025-01-10,94701.18,2025-02-05,96638.33,2.05,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],15,long,2025-05-03,95861.33,2025-06-22,100996.87,5.36,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],16,long,2025-06-23,105419.39,2025-08-19,112856.19,7.05,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],17,long,2025-08-20,114276.0,2025-08-21,112480.3,-1.57,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],18,long,2025-08-22,116908.68,2025-08-24,113478.0,-2.93,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],19,long,2025-10-07,121393.95,2025-10-10,112980.28,-6.93,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE FiltX],20,long,2025-10-12,115067.98,2025-10-14,113068.0,-1.74,FiltX
BTC/USD [GC(4p/144/1.414) src=hlc3 LATE LbandX],1,long,2022-01-31,38483.12,2022-04-26,38117.46,-0.95,LbandX
